uid,createDate,startTime,endTime,cpu_num,mem,gpu_num,worker_num
02faa0b7-05af-4724-b00a-32bdefab4345,1728305044,1728305046,1728305513,64m,896Mi,8,1
02faa0b7-05af-4724-b00a-32bdefab4345,1728305044,1728305046,1728305513,64m,896Mi,8,1
02faa0b7-05af-4724-b00a-32bdefab4345,1728305044,1728305046,1728305513,64m,896Mi,8,1
11f0e1fd-6cc7-45b0-a928-0ebf23479cb1,1728304010,1728304012,1728305534,64m,448Mi,8,1
11f0e1fd-6cc7-45b0-a928-0ebf23479cb1,1728304010,1728304012,1728305534,64m,448Mi,8,1
11f0e1fd-6cc7-45b0-a928-0ebf23479cb1,1728304010,1728304012,1728305534,64m,448Mi,8,1
3d395c30-cbba-4432-bb10-1c72f7c3d4fe,1728304009,1728304012,1728305534,64m,448Mi,8,1
3d395c30-cbba-4432-bb10-1c72f7c3d4fe,1728304009,1728304012,1728305534,64m,448Mi,8,1
3d395c30-cbba-4432-bb10-1c72f7c3d4fe,1728304009,1728304012,1728305534,64m,448Mi,8,1
e4ba37de-ad96-4802-9f14-2cc9d6d2e6e8,1728304010,1728304012,1728305534,64m,448Mi,8,1
e4ba37de-ad96-4802-9f14-2cc9d6d2e6e8,1728304010,1728304012,1728305534,64m,448Mi,8,1
e4ba37de-ad96-4802-9f14-2cc9d6d2e6e8,1728304010,1728304012,1728305534,64m,448Mi,8,1
4a95fdc0-816b-49eb-9871-a02425c1c160,1728304011,1728304013,1728305536,64m,448Mi,8,1
4a95fdc0-816b-49eb-9871-a02425c1c160,1728304011,1728304013,1728305536,64m,448Mi,8,1
4a95fdc0-816b-49eb-9871-a02425c1c160,1728304011,1728304013,1728305536,64m,448Mi,8,1
8ea1a80d-fd6e-4896-b130-eedbc1decd3c,1728305505,1728305508,1728305549,64m,896Mi,8,1
8ea1a80d-fd6e-4896-b130-eedbc1decd3c,1728305505,1728305508,1728305549,64m,896Mi,8,1
8ea1a80d-fd6e-4896-b130-eedbc1decd3c,1728305505,1728305508,1728305549,64m,896Mi,8,1
fc2c7bea-9265-449d-8bb9-486aefc081ba,1728305506,1728305508,1728305555,64m,448Mi,8,1
fc2c7bea-9265-449d-8bb9-486aefc081ba,1728305506,1728305508,1728305555,64m,448Mi,8,1
fc2c7bea-9265-449d-8bb9-486aefc081ba,1728305506,1728305508,1728305555,64m,448Mi,8,1
1d2a43a6-26c0-4bfc-8e57-0806a421f324,1728305554,1728305557,1728305559,64m,448Mi,8,1
1d2a43a6-26c0-4bfc-8e57-0806a421f324,1728305554,1728305557,1728305559,64m,448Mi,8,1
1d2a43a6-26c0-4bfc-8e57-0806a421f324,1728305554,1728305557,1728305559,64m,448Mi,8,1
f80dd4ec-1b70-427d-9bdf-f0d4e71953dd,1728305523,1728305526,1728305573,64m,896Mi,8,1
f80dd4ec-1b70-427d-9bdf-f0d4e71953dd,1728305523,1728305526,1728305573,64m,896Mi,8,1
f80dd4ec-1b70-427d-9bdf-f0d4e71953dd,1728305523,1728305526,1728305573,64m,896Mi,8,1
69eed0b9-5856-4c36-b630-00f2d4c1a956,1728305560,1728305562,1728305590,64m,448Mi,8,1
69eed0b9-5856-4c36-b630-00f2d4c1a956,1728305560,1728305562,1728305590,64m,448Mi,8,1
69eed0b9-5856-4c36-b630-00f2d4c1a956,1728305560,1728305562,1728305590,64m,448Mi,8,1
022cae71-5333-4b23-9ff6-22fb8afef935,1728304972,1728304975,1728305638,64m,448Mi,8,2
022cae71-5333-4b23-9ff6-22fb8afef935,1728304972,1728304975,1728305638,64m,448Mi,8,2
022cae71-5333-4b23-9ff6-22fb8afef935,1728304972,1728304975,1728305638,64m,448Mi,8,2
16e007cf-1e47-45d3-ac47-48849dc9bebd,1728305616,1728305619,1728305645,64m,448Mi,8,1
16e007cf-1e47-45d3-ac47-48849dc9bebd,1728305616,1728305619,1728305645,64m,448Mi,8,1
16e007cf-1e47-45d3-ac47-48849dc9bebd,1728305616,1728305619,1728305645,64m,448Mi,8,1
70fac551-3ed6-4192-a424-09cb80d78efc,1728305585,1728305588,1728305648,64m,448Mi,8,1
